,qseqid,qstart,qend,qlen,sseqid,sstart,send,length,gaps,nident,aligned_pairs,query_coverage,percent_identity
0,NZ_LR134333.1.0,1,1020,1020,NZ_LR134215.1,338159,337142,1021,4,981,1017,0.9970588235294118,0.961764705882353
8,NZ_LR134333.1.1,1,1020,1020,NZ_LR134215.1,996075,995057,1022,5,991,1017,0.9970588235294118,0.9715686274509804
199,NZ_LR134333.1.100,76,1020,1020,NZ_LR134215.1,3910547,3911490,945,1,716,944,0.9254901960784314,0.7019607843137254
1169,NZ_LR134333.1.1000,3,1020,1020,NZ_LR134215.1,549432,550449,1018,0,917,1018,0.9980392156862745,0.8990196078431373
1170,NZ_LR134333.1.1001,5,730,1020,NZ_LR134215.1,550454,551180,727,1,620,726,0.711764705882353,0.6078431372549019
1171,NZ_LR134333.1.1002,11,1020,1020,NZ_LR134215.1,551603,552612,1012,4,772,1008,0.9882352941176471,0.7568627450980392
1172,NZ_LR134333.1.1003,28,1020,1020,NZ_LR134215.1,552640,553609,1004,45,783,959,0.9401960784313725,0.7676470588235295
1173,NZ_LR134333.1.1004,1,1018,1020,NZ_LR134215.1,553610,554639,1031,14,802,1017,0.9970588235294118,0.7862745098039216
1179,NZ_LR134333.1.1014,3,1020,1020,NZ_LR134215.1,556643,557660,1021,6,748,1015,0.9950980392156863,0.7333333333333333
1180,NZ_LR134333.1.1015,79,1020,1020,NZ_LR134215.1,557739,558731,994,53,721,941,0.9225490196078432,0.7068627450980393
1181,NZ_LR134333.1.1016,31,1020,1020,NZ_LR134215.1,558762,559790,1049,79,699,970,0.9509803921568627,0.6852941176470588
1183,NZ_LR134333.1.1018,36,1010,1020,NZ_LR134215.1,560867,561841,981,12,754,969,0.95,0.7392156862745098
1184,NZ_LR134333.1.1019,124,1019,1020,NZ_LR134215.1,561975,562870,896,0,703,896,0.8784313725490196,0.6892156862745098
204,NZ_LR134333.1.102,3,1020,1020,NZ_LR134215.1,3912500,3913522,1031,21,803,1010,0.9901960784313726,0.7872549019607843
1185,NZ_LR134333.1.1020,1,1018,1020,NZ_LR134215.1,562872,563914,1050,39,801,1011,0.9911764705882353,0.7852941176470588
1186,NZ_LR134333.1.1021,23,946,1020,NZ_LR134215.1,563939,564862,924,0,731,924,0.9058823529411765,0.7166666666666667
1187,NZ_LR134333.1.1022,198,1020,1020,NZ_LR134215.1,565101,565921,845,46,597,799,0.7833333333333333,0.5852941176470589
1188,NZ_LR134333.1.1023,1,1020,1020,NZ_LR134215.1,565922,566949,1033,18,800,1015,0.9950980392156863,0.7843137254901961
1189,NZ_LR134333.1.1024,2,1020,1020,NZ_LR134215.1,566951,567951,1031,42,735,989,0.9696078431372549,0.7205882352941176
1190,NZ_LR134333.1.1025,1,1020,1020,NZ_LR134215.1,567952,568981,1034,18,758,1016,0.996078431372549,0.7431372549019608
1191,NZ_LR134333.1.1026,1,1020,1020,NZ_LR134215.1,568982,569999,1026,14,795,1012,0.9921568627450981,0.7794117647058824
1192,NZ_LR134333.1.1027,1,1020,1020,NZ_LR134215.1,570000,570977,1035,72,738,963,0.9441176470588235,0.7235294117647059
1193,NZ_LR134333.1.1028,2,1009,1020,NZ_LR134215.1,570979,571992,1018,14,776,1004,0.984313725490196,0.7607843137254902
1194,NZ_LR134333.1.1029,197,1020,1020,NZ_LR134215.1,572218,573047,830,6,635,824,0.807843137254902,0.6225490196078431
208,NZ_LR134333.1.103,1,760,1020,NZ_LR134215.1,3913523,3914282,760,0,627,760,0.7450980392156863,0.6147058823529412
1195,NZ_LR134333.1.1030,3,1010,1020,NZ_LR134215.1,573050,574057,1015,14,790,1001,0.9813725490196078,0.7745098039215687
1196,NZ_LR134333.1.1031,1,1020,1020,NZ_LR134215.1,574068,575098,1034,17,811,1017,0.9970588235294118,0.7950980392156862
1197,NZ_LR134333.1.1032,2,1014,1020,NZ_LR134215.1,575100,576112,1014,2,842,1012,0.9921568627450981,0.8254901960784313
1203,NZ_LR134333.1.1035,6,1018,1020,NZ_LR134215.1,772360,771339,1042,49,707,993,0.9735294117647059,0.6931372549019608
1205,NZ_LR134333.1.1037,270,1018,1020,NZ_LR134215.1,579490,580238,749,0,622,749,0.734313725490196,0.6098039215686275
1207,NZ_LR134333.1.1038,1,1020,1020,NZ_LR134215.1,580241,581260,1020,0,833,1020,1.0,0.8166666666666667
210,NZ_LR134333.1.104,22,1007,1020,NZ_LR134215.1,3914580,3915579,1001,16,733,985,0.9656862745098039,0.7186274509803922
1210,NZ_LR134333.1.1040,7,1020,1020,NZ_LR134215.1,582283,583334,1054,42,761,1012,0.9921568627450981,0.746078431372549
1211,NZ_LR134333.1.1041,1,851,1020,NZ_LR134215.1,583335,584185,852,2,651,850,0.8333333333333334,0.638235294117647
1212,NZ_LR134333.1.1042,3,1020,1020,NZ_LR134215.1,629662,630682,1025,11,813,1014,0.9941176470588236,0.7970588235294118
1213,NZ_LR134333.1.1043,1,1012,1020,NZ_LR134215.1,630683,631694,1012,0,831,1012,0.9921568627450981,0.8147058823529412
1215,NZ_LR134333.1.1045,1,1018,1020,NZ_LR134215.1,632208,633201,1029,46,729,983,0.9637254901960784,0.7147058823529412
1216,NZ_LR134333.1.1046,1,833,1020,NZ_LR134215.1,633204,634036,835,4,646,831,0.8147058823529412,0.6333333333333333
1217,NZ_LR134333.1.1047,91,884,1020,NZ_LR134215.1,634303,635096,797,6,621,791,0.7754901960784314,0.6088235294117647
1218,NZ_LR134333.1.1048,5,1020,1020,NZ_LR134215.1,635273,636296,1038,36,745,1002,0.9823529411764705,0.7303921568627451
1220,NZ_LR134333.1.1049,16,864,1020,NZ_LR134215.1,636312,637160,858,18,656,840,0.8235294117647058,0.6431372549019608
211,NZ_LR134333.1.105,5,949,1020,NZ_LR134215.1,3915597,3916541,949,8,710,941,0.9225490196078432,0.696078431372549
1221,NZ_LR134333.1.1050,27,1020,1020,NZ_LR134215.1,637374,638373,1003,12,755,991,0.9715686274509804,0.7401960784313726
1224,NZ_LR134333.1.1058,22,1018,1020,NZ_LR134215.1,1890503,1889507,1002,10,712,992,0.9725490196078431,0.6980392156862745
1225,NZ_LR134333.1.1059,68,818,1020,NZ_LR134215.1,1889437,1888684,759,13,565,746,0.7313725490196078,0.553921568627451
212,NZ_LR134333.1.106,57,1008,1020,NZ_LR134215.1,3916669,3917621,962,19,684,943,0.9245098039215687,0.6705882352941176
213,NZ_LR134333.1.107,1,1017,1020,NZ_LR134215.1,3917633,3918649,1021,8,786,1013,0.9931372549019608,0.7705882352941177
214,NZ_LR134333.1.108,18,1009,1020,NZ_LR134215.1,3918670,3919661,997,10,788,987,0.9676470588235294,0.7725490196078432
1230,NZ_LR134333.1.1083,22,1020,1020,NZ_LR134215.1,662843,663841,1003,8,758,995,0.9754901960784313,0.7431372549019608
